"animalID","animalOrder","animalFamily","animalGenericName","animalSpecificEpithet","animalScientificName","animalTaxonAggregate","animalFinestCommonTaxon","animalFinestCommonTaxonRank","animalFunctionalGroup","plantFamily","plantGenericName","plantSpecificEpithet","plantScientificName","floralForm","era","day","month","year","eventDate","animalQuantityConservativeEstimate","animalQuantityGenerousEstimate"
NA,"Hymenoptera","Andrenidae","Andrena","ruficrus","Andrena ruficrus Nylander, 1848",NA,"Andrena ruficrus","species","solitary bees","Geraniaceae","Geranium","sylvaticum","Geranium sylvaticum L.","disk flower (hidden nectar)","past",5,7,1896,"1896-07-05",1,1
NA,"Diptera","Anthomyiidae","Zaphne","ambigua","Zaphne ambigua (Fallén, 1823)",NA,"Zaphne","genus","muscoid flies","Rosaceae","Comarum","palustre","Comarum palustre L.","disk flower (hidden nectar)","past",4,8,1896,"1896-08-04",4,8
NA,"Hymenoptera","Apidae","Anthophora","furcata","Anthophora furcata (Panzer, 1798)",NA,"Anthophora furcata","species","solitary bees","Geraniaceae","Geranium","sylvaticum","Geranium sylvaticum L.","disk flower (hidden nectar)","past",4,7,1898,"1898-07-04",1,1
NA,"Hymenoptera","Apidae","Bombus","hortorum","Bombus hortorum (Linnaeus, 1761)",NA,"Bombus hortorum","species","bumblebees","Onagraceae","Chamaenerion","angustifolium","Chamaenerion angustifolium (L.) Scop.","disk flower (hidden nectar)","past",1,8,1895,"1895-08-01",4,8
NA,"Hymenoptera","Apidae","Bombus","hortorum","Bombus hortorum (Linnaeus, 1761)",NA,"Bombus hortorum","species","bumblebees","Geraniaceae","Geranium","sylvaticum","Geranium sylvaticum L.","disk flower (hidden nectar)","past",30,6,1896,"1896-06-30",1,1
NA,"Hymenoptera","Apidae","Bombus","hypnorum","Bombus hypnorum (Linnaeus, 1758)",NA,"Bombus hypnorum","species","bumblebees","Rosaceae","Rubus","arcticus","Rubus arcticus L.","disk flower (hidden nectar)","past",3,7,1896,"1896-07-03",4,8
NA,"Hymenoptera","Apidae","Bombus","hypnorum","Bombus hypnorum (Linnaeus, 1758)",NA,"Bombus hypnorum","species","bumblebees","Ranunculaceae","Ranunculus","acris","Ranunculus acris L.","disk flower (hidden nectar)","past",30,7,1900,"1900-07-30",1,1
NA,"Hymenoptera","Apidae","Bombus","hypnorum","Bombus hypnorum (Linnaeus, 1758)",NA,"Bombus hypnorum","species","bumblebees","Asteraceae","Solidago","virgaurea","Solidago virgaurea L.","flower heads","past",31,7,1896,"1896-07-31",1,1
NA,"Hymenoptera","Apidae","Bombus","jonellus","Bombus jonellus (Kirby, 1802)",NA,"Bombus jonellus","species","bumblebees","Onagraceae","Chamaenerion","angustifolium","Chamaenerion angustifolium (L.) Scop.","disk flower (hidden nectar)","past",1,8,1895,"1895-08-01",4,8
NA,"Hymenoptera","Apidae","Bombus","jonellus","Bombus jonellus (Kirby, 1802)",NA,"Bombus jonellus","species","bumblebees","Onagraceae","Chamaenerion","angustifolium","Chamaenerion angustifolium (L.) Scop.","disk flower (hidden nectar)","past",2,8,1895,"1895-08-02",4,8
NA,"Hymenoptera","Apidae","Bombus","jonellus","Bombus jonellus (Kirby, 1802)",NA,"Bombus jonellus","species","bumblebees","Ericaceae","Vaccinium","vitis-idaea","Vaccinium vitis-idaea L.","bell flowers","past",3,7,1897,"1897-07-03",8,50
NA,"Hymenoptera","Apidae","Bombus","jonellus","Bombus jonellus (Kirby, 1802)",NA,"Bombus jonellus","species","bumblebees","Rosaceae","Comarum","palustre","Comarum palustre L.","disk flower (hidden nectar)","past",4,8,1896,"1896-08-04",8,50
NA,"Hymenoptera","Apidae","Bombus","jonellus","Bombus jonellus (Kirby, 1802)",NA,"Bombus jonellus","species","bumblebees","Geraniaceae","Geranium","sylvaticum","Geranium sylvaticum L.","disk flower (hidden nectar)","past",4,7,1896,"1896-07-04",1,1
NA,"Hymenoptera","Apidae","Bombus","jonellus","Bombus jonellus (Kirby, 1802)",NA,"Bombus jonellus","species","bumblebees","Rosaceae","Rubus","arcticus","Rubus arcticus L.","disk flower (hidden nectar)","past",4,7,1896,"1896-07-04",8,50
NA,"Hymenoptera","Apidae","Bombus","jonellus","Bombus jonellus (Kirby, 1802)",NA,"Bombus jonellus","species","bumblebees","Rosaceae","Comarum","palustre","Comarum palustre L.","disk flower (hidden nectar)","past",12,7,1898,"1898-07-12",8,50
NA,"Hymenoptera","Apidae","Bombus","jonellus","Bombus jonellus (Kirby, 1802)",NA,"Bombus jonellus","species","bumblebees","Rosaceae","Rubus","arcticus","Rubus arcticus L.","disk flower (hidden nectar)","past",28,6,1898,"1898-06-28",8,50
NA,"Hymenoptera","Apidae","Bombus","jonellus","Bombus jonellus (Kirby, 1802)",NA,"Bombus jonellus","species","bumblebees","Ericaceae","Vaccinium","vitis-idaea","Vaccinium vitis-idaea L.","bell flowers","past",29,6,1897,"1897-06-29",8,50
NA,"Hymenoptera","Apidae","Bombus","jonellus","Bombus jonellus (Kirby, 1802)",NA,"Bombus jonellus","species","bumblebees","Fabaceae","Astragalus","alpinus","Astragalus alpinus L.","flag blossom","past",30,6,1896,"1896-06-30",8,50
NA,"Hymenoptera","Apidae","Bombus","lapponicus","Bombus lapponicus (Fabricius, 1793)",NA,"Bombus lapponicus","species","bumblebees","Geraniaceae","Geranium","sylvaticum","Geranium sylvaticum L.","disk flower (hidden nectar)","past",4,7,1896,"1896-07-04",1,1
NA,"Hymenoptera","Apidae","Bombus","lapponicus","Bombus lapponicus (Fabricius, 1793)",NA,"Bombus lapponicus","species","bumblebees","Rosaceae","Rubus","arcticus","Rubus arcticus L.","disk flower (hidden nectar)","past",4,7,1896,"1896-07-04",4,8
NA,"Hymenoptera","Apidae","Bombus","lapponicus","Bombus lapponicus (Fabricius, 1793)",NA,"Bombus lapponicus","species","bumblebees","Fabaceae","Astragalus","alpinus","Astragalus alpinus L.","flag blossom","past",7,7,1895,"1895-07-07",8,50
NA,"Hymenoptera","Apidae","Bombus","lapponicus","Bombus lapponicus (Fabricius, 1793)",NA,"Bombus lapponicus","species","bumblebees","Fabaceae","Astragalus","alpinus","Astragalus alpinus L.","flag blossom","past",10,7,1895,"1895-07-10",8,50
NA,"Hymenoptera","Apidae","Bombus","lapponicus","Bombus lapponicus (Fabricius, 1793)",NA,"Bombus lapponicus","species","bumblebees","Rosaceae","Rubus","arcticus","Rubus arcticus L.","disk flower (hidden nectar)","past",15,7,1896,"1896-07-15",1,1
NA,"Hymenoptera","Apidae","Bombus","lapponicus","Bombus lapponicus (Fabricius, 1793)",NA,"Bombus lapponicus","species","bumblebees","Asteraceae","Carduus","crispus","Carduus crispus L.","flower heads","past",16,7,1896,"1896-07-16",4,8
NA,"Hymenoptera","Apidae","Bombus","lapponicus","Bombus lapponicus (Fabricius, 1793)",NA,"Bombus lapponicus","species","bumblebees","Fabaceae","Astragalus","alpinus","Astragalus alpinus L.","flag blossom","past",28,6,1898,"1898-06-28",8,50
NA,"Hymenoptera","Apidae","Bombus","pascuorum","Bombus pascuorum (Scopoli, 1763)",NA,"Bombus pascuorum","species","bumblebees","Asteraceae","Carduus","crispus","Carduus crispus L.","flower heads","past",10,8,1896,"1896-08-10",15,100
NA,"Hymenoptera","Apidae","Bombus","pascuorum","Bombus pascuorum (Scopoli, 1763)",NA,"Bombus pascuorum","species","bumblebees","Asteraceae","Solidago","virgaurea","Solidago virgaurea L.","flower heads","past",31,7,1896,"1896-07-31",1,1
NA,"Hymenoptera","Apidae","Bombus","pratorum","Bombus pratorum (Linnaeus, 1761)",NA,"Bombus pratorum","species","bumblebees","Rosaceae","Rubus","arcticus","Rubus arcticus L.","disk flower (hidden nectar)","past",3,7,1896,"1896-07-03",4,8
NA,"Hymenoptera","Apidae","Bombus","pratorum","Bombus pratorum (Linnaeus, 1761)",NA,"Bombus pratorum","species","bumblebees","Rosaceae","Rubus","arcticus","Rubus arcticus L.","disk flower (hidden nectar)","past",4,7,1896,"1896-07-04",4,8
NA,"Hymenoptera","Apidae","Bombus","terrestris","Bombus terrestris (Linnaeus, 1758)","Bombus terrestris-lucorum complex","Bombus terrestris-lucorum complex","species","bumblebees","Onagraceae","Chamaenerion","angustifolium","Chamaenerion angustifolium (L.) Scop.","disk flower (hidden nectar)","past",2,8,1895,"1895-08-02",4,8
NA,"Hymenoptera","Apidae","Bombus","terrestris","Bombus terrestris (Linnaeus, 1758)","Bombus terrestris-lucorum complex","Bombus terrestris-lucorum complex","species","bumblebees","Ericaceae","Vaccinium","vitis-idaea","Vaccinium vitis-idaea L.","bell flowers","past",3,7,1897,"1897-07-03",10,80
